PROVENANCE script=scripts/certify_right_edge_beta_taylor_arb.py
PROVENANCE script_sha256=d614f97a120b13b8cb02b00f6906fd76780c6c329062cdc71fec499083137cdc
PROVENANCE git_head=d7919ff2f64ffd17669aab4fc756070cbb942a18
PROVENANCE python=3.12.6
PROVENANCE python_flint=0.9.0
PROVENANCE arb_prec_bits=140
PROVENANCE bulk_dependency_sha256=f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
CONFIG beta_order=12 d_order=9 CWIN=3/2 splice=1/500 initial_db=0.025
beta-box [15.0,15.025]: normalized=1 regular=13
beta-box [16.5,16.525]: normalized=1 regular=12
beta-box [16.525,16.55]: normalized=1 regular=12
beta-box [16.55,16.575]: normalized=1 regular=12
beta-box [16.575,16.6]: normalized=1 regular=12
beta-box [16.6,16.625]: normalized=1 regular=12
beta-box [16.625,16.65]: normalized=1 regular=12
beta-box [16.65,16.675]: normalized=1 regular=12
beta-box [16.675,16.7]: normalized=1 regular=12
beta-box [16.7,16.725]: normalized=1 regular=12
beta-box [16.725,16.75]: normalized=1 regular=12
beta-box [16.75,16.775]: normalized=1 regular=12
beta-box [16.775,16.8]: normalized=1 regular=12
beta-box [16.8,16.825]: normalized=1 regular=12
beta-box [16.825,16.85]: normalized=1 regular=12
beta-box [16.85,16.875]: normalized=1 regular=13
beta-box [16.875,16.9]: normalized=1 regular=13
beta-box [16.9,16.925]: normalized=1 regular=13
beta-box [16.925,16.95]: normalized=1 regular=13
beta-box [16.95,16.975]: normalized=1 regular=13
beta-box [16.975,17.0]: normalized=1 regular=13
beta-box [17.0,17.025]: normalized=1 regular=13
beta-box [17.025,17.05]: normalized=1 regular=13
beta-box [17.05,17.075]: normalized=1 regular=13
beta-box [17.075,17.1]: normalized=1 regular=13
beta-box [17.1,17.125]: normalized=1 regular=13
beta-box [17.125,17.15]: normalized=1 regular=13
beta-box [17.15,17.175]: normalized=1 regular=13
beta-box [17.175,17.2]: normalized=1 regular=13
beta-box [17.2,17.225]: normalized=1 regular=13
beta-box [17.225,17.25]: normalized=1 regular=13
beta-box [17.25,17.275]: normalized=1 regular=13
beta-box [17.275,17.3]: normalized=1 regular=13
beta-box [17.3,17.325]: normalized=1 regular=13
beta-box [17.325,17.35]: normalized=1 regular=13
beta-box [17.35,17.375]: normalized=1 regular=13
beta-box [17.375,17.4]: normalized=1 regular=13
beta-box [17.4,17.425]: normalized=1 regular=13
beta-box [17.425,17.45]: normalized=1 regular=13
beta-box [17.45,17.475]: normalized=1 regular=13
beta-box [17.475,17.5]: normalized=1 regular=13
CERTIFIED (right-edge, Arb): W<0 on pi-1.5/beta<=t<pi x [15.0,17.5]; beta_boxes=100 normalized_boxes=100 regular_boxes=1248
