PROVENANCE script=scripts/certify_right_edge_beta_taylor_arb.py
PROVENANCE script_sha256=d614f97a120b13b8cb02b00f6906fd76780c6c329062cdc71fec499083137cdc
PROVENANCE git_head=d7919ff2f64ffd17669aab4fc756070cbb942a18
PROVENANCE python=3.12.6
PROVENANCE python_flint=0.9.0
PROVENANCE arb_prec_bits=140
PROVENANCE bulk_dependency_sha256=f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
CONFIG beta_order=12 d_order=9 CWIN=3/2 splice=1/500 initial_db=0.05
beta-box [10.0,10.05]: normalized=1 regular=16
beta-box [11.85,11.9]: normalized=1 regular=14
beta-box [11.9,11.95]: normalized=1 regular=14
beta-box [11.95,12.0]: normalized=1 regular=14
beta-box [12.0,12.05]: normalized=1 regular=14
beta-box [12.05,12.1]: normalized=1 regular=14
beta-box [12.1,12.15]: normalized=1 regular=14
beta-box [12.15,12.2]: normalized=1 regular=14
beta-box [12.2,12.25]: normalized=1 regular=14
beta-box [12.25,12.3]: normalized=1 regular=14
beta-box [12.3,12.35]: normalized=1 regular=14
beta-box [12.35,12.4]: normalized=1 regular=14
beta-box [12.4,12.45]: normalized=1 regular=14
beta-box [12.45,12.5]: normalized=1 regular=14
beta-box [12.5,12.55]: normalized=1 regular=14
beta-box [12.55,12.6]: normalized=1 regular=14
beta-box [12.6,12.65]: normalized=1 regular=14
beta-box [12.65,12.7]: normalized=1 regular=14
beta-box [12.7,12.75]: normalized=1 regular=14
beta-box [12.75,12.8]: normalized=1 regular=14
beta-box [12.8,12.85]: normalized=1 regular=14
beta-box [12.85,12.9]: normalized=1 regular=14
beta-box [12.9,12.95]: normalized=1 regular=14
beta-box [12.95,13.0]: normalized=1 regular=14
beta-box [13.0,13.05]: normalized=1 regular=14
beta-box [13.05,13.1]: normalized=1 regular=14
beta-box [13.1,13.15]: normalized=1 regular=14
beta-box [13.15,13.2]: normalized=1 regular=14
beta-box [13.2,13.25]: normalized=1 regular=14
beta-box [13.25,13.3]: normalized=1 regular=14
beta-box [13.3,13.35]: normalized=1 regular=14
beta-box [13.35,13.4]: normalized=1 regular=14
beta-box [13.4,13.45]: normalized=1 regular=14
beta-box [13.45,13.5]: normalized=1 regular=14
beta-box [13.5,13.55]: normalized=1 regular=14
beta-box [13.55,13.6]: normalized=1 regular=14
beta-box [13.6,13.65]: normalized=1 regular=14
beta-box [13.65,13.7]: normalized=1 regular=14
beta-box [13.7,13.75]: normalized=1 regular=14
beta-box [13.75,13.8]: normalized=1 regular=14
beta-box [13.8,13.85]: normalized=1 regular=14
beta-box [13.85,13.9]: normalized=1 regular=14
beta-box [13.9,13.95]: normalized=1 regular=14
beta-box [13.95,14.0]: normalized=1 regular=14
beta-box [14.0,14.05]: normalized=1 regular=14
beta-box [14.05,14.1]: normalized=1 regular=14
beta-box [14.1,14.15]: normalized=1 regular=14
beta-box [14.15,14.2]: normalized=1 regular=14
beta-box [14.2,14.25]: normalized=1 regular=14
beta-box [14.25,14.3]: normalized=1 regular=14
beta-box [14.3,14.35]: normalized=1 regular=14
beta-box [14.35,14.4]: normalized=1 regular=14
beta-box [14.4,14.45]: normalized=1 regular=14
beta-box [14.45,14.5]: normalized=1 regular=14
beta-box [14.5,14.55]: normalized=1 regular=15
beta-box [14.55,14.6]: normalized=1 regular=15
beta-box [14.6,14.65]: normalized=1 regular=15
beta-box [14.65,14.7]: normalized=1 regular=15
beta-box [14.7,14.75]: normalized=1 regular=15
beta-box [14.75,14.8]: normalized=1 regular=15
beta-box [14.8,14.85]: normalized=1 regular=15
beta-box [14.85,14.9]: normalized=1 regular=15
beta-box [14.9,14.95]: normalized=1 regular=16
beta-box [14.95,15.0]: normalized=1 regular=16
CERTIFIED (right-edge, Arb): W<0 on pi-1.5/beta<=t<pi x [10.0,15.0]; beta_boxes=100 normalized_boxes=100 regular_boxes=1476
