PROVENANCE script=scripts/certify_left_edge_beta_taylor_arb.py
PROVENANCE script_sha256=1ea85d53518f71dd4a1986e91b8b3c8df56fa9eaad01b462be2c5862019d6ddc
PROVENANCE git_head=643c62d68758932bb896b1d236b41a0a1f590441
PROVENANCE python=3.12.6
PROVENANCE python_flint=0.9.0
PROVENANCE arb_prec_bits=140
PROVENANCE bulk_dependency_sha256=f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
CONFIG beta_order=12 t_order=9 splice=1/5 initial_db=0.1
beta-box [3.0,3.1]: normalized=1 regular=7
beta-box [13.6,13.7]: normalized=1 regular=4
beta-box [13.7,13.8]: normalized=1 regular=4
beta-box [13.8,13.9]: normalized=1 regular=4
beta-box [13.9,14.0]: normalized=1 regular=4
beta-box [14.0,14.1]: normalized=1 regular=4
beta-box [14.1,14.2]: normalized=1 regular=4
beta-box [14.2,14.3]: normalized=1 regular=4
beta-box [14.3,14.4]: normalized=1 regular=4
beta-box [14.4,14.5]: normalized=1 regular=4
beta-box [14.5,14.6]: normalized=1 regular=4
beta-box [14.6,14.7]: normalized=1 regular=4
beta-box [14.7,14.8]: normalized=1 regular=4
beta-box [14.8,14.9]: normalized=1 regular=4
beta-box [14.9,15.0]: normalized=1 regular=4
beta-box [15.0,15.1]: normalized=1 regular=4
beta-box [15.1,15.2]: normalized=1 regular=4
beta-box [15.2,15.3]: normalized=1 regular=4
beta-box [15.3,15.4]: normalized=1 regular=4
beta-box [15.4,15.5]: normalized=1 regular=4
beta-box [15.5,15.6]: normalized=1 regular=4
beta-box [15.6,15.7]: normalized=1 regular=4
beta-box [15.7,15.8]: normalized=1 regular=4
beta-box [15.8,15.9]: normalized=1 regular=4
beta-box [15.9,16.0]: normalized=1 regular=4
beta-box [16.0,16.1]: normalized=1 regular=4
beta-box [16.1,16.2]: normalized=1 regular=4
beta-box [16.2,16.3]: normalized=1 regular=4
beta-box [16.3,16.4]: normalized=1 regular=4
beta-box [16.4,16.5]: normalized=1 regular=4
beta-box [16.5,16.6]: normalized=1 regular=4
beta-box [16.6,16.7]: normalized=1 regular=4
beta-box [16.7,16.8]: normalized=1 regular=4
beta-box [16.8,16.9]: normalized=1 regular=4
beta-box [16.9,17.0]: normalized=1 regular=4
beta-box [17.0,17.1]: normalized=1 regular=4
beta-box [17.1,17.2]: normalized=1 regular=4
beta-box [17.2,17.3]: normalized=1 regular=4
beta-box [17.3,17.4]: normalized=1 regular=4
beta-box [17.4,17.5]: normalized=1 regular=4
beta-box [17.5,17.6]: normalized=1 regular=4
beta-box [17.6,17.7]: normalized=1 regular=4
beta-box [17.7,17.8]: normalized=1 regular=4
beta-box [17.8,17.9]: normalized=1 regular=4
beta-box [17.9,18.0]: normalized=1 regular=4
beta-box [18.0,18.1]: normalized=1 regular=4
beta-box [18.1,18.2]: normalized=1 regular=4
beta-box [18.2,18.3]: normalized=1 regular=4
beta-box [18.3,18.4]: normalized=1 regular=4
beta-box [18.4,18.5]: normalized=1 regular=4
beta-box [18.5,18.6]: normalized=1 regular=4
beta-box [18.6,18.7]: normalized=1 regular=4
beta-box [18.7,18.8]: normalized=1 regular=4
beta-box [18.8,18.9]: normalized=1 regular=4
beta-box [18.9,19.0]: normalized=1 regular=4
beta-box [19.0,19.1]: normalized=1 regular=4
beta-box [19.1,19.2]: normalized=1 regular=4
beta-box [19.2,19.3]: normalized=1 regular=4
beta-box [19.3,19.4]: normalized=1 regular=4
beta-box [19.4,19.5]: normalized=1 regular=4
beta-box [19.5,19.6]: normalized=1 regular=4
beta-box [19.6,19.7]: normalized=1 regular=4
beta-box [19.7,19.8]: normalized=1 regular=4
beta-box [19.8,19.9]: normalized=1 regular=4
beta-box [19.9,20.0]: normalized=1 regular=4
CERTIFIED (left-edge, Arb): W<0 on (0,0.6] x [3.0,20.0]; beta_boxes=170 normalized_boxes=170 regular_boxes=883
