beta-box [3.0000, 3.0010]: 21 t-boxes
beta-box [3.2660, 3.2670]: 26 t-boxes
beta-box [3.2670, 3.2680]: 26 t-boxes
beta-box [3.2680, 3.2690]: 26 t-boxes
beta-box [3.2690, 3.2700]: 26 t-boxes
beta-box [3.2700, 3.2710]: 26 t-boxes
beta-box [3.2710, 3.2720]: 26 t-boxes
beta-box [3.2720, 3.2730]: 26 t-boxes
beta-box [3.2730, 3.2740]: 26 t-boxes
beta-box [3.2740, 3.2750]: 26 t-boxes
beta-box [3.2750, 3.2760]: 26 t-boxes
beta-box [3.2760, 3.2770]: 26 t-boxes
beta-box [3.2770, 3.2780]: 26 t-boxes
beta-box [3.2780, 3.2790]: 26 t-boxes
beta-box [3.2790, 3.2800]: 26 t-boxes
beta-box [3.2800, 3.2810]: 26 t-boxes
beta-box [3.2810, 3.2820]: 26 t-boxes
beta-box [3.2820, 3.2830]: 26 t-boxes
beta-box [3.2830, 3.2840]: 26 t-boxes
beta-box [3.2840, 3.2850]: 26 t-boxes
beta-box [3.2850, 3.2860]: 26 t-boxes
beta-box [3.2860, 3.2870]: 26 t-boxes
beta-box [3.2870, 3.2880]: 26 t-boxes
beta-box [3.2880, 3.2890]: 26 t-boxes
beta-box [3.2890, 3.2900]: 26 t-boxes
beta-box [3.2900, 3.2910]: 26 t-boxes
beta-box [3.2910, 3.2920]: 26 t-boxes
beta-box [3.2920, 3.2930]: 26 t-boxes
beta-box [3.2930, 3.2940]: 26 t-boxes
beta-box [3.2940, 3.2950]: 26 t-boxes
beta-box [3.2950, 3.2960]: 26 t-boxes
beta-box [3.2960, 3.2970]: 26 t-boxes
beta-box [3.2970, 3.2980]: 26 t-boxes
beta-box [3.2980, 3.2990]: 26 t-boxes
beta-box [3.2990, 3.3000]: 26 t-boxes
beta-box [3.3000, 3.3010]: 26 t-boxes
beta-box [3.3010, 3.3020]: 26 t-boxes
beta-box [3.3020, 3.3030]: 26 t-boxes
beta-box [3.3030, 3.3040]: 26 t-boxes
beta-box [3.3040, 3.3050]: 26 t-boxes
beta-box [3.3050, 3.3060]: 26 t-boxes
beta-box [3.3060, 3.3070]: 26 t-boxes
beta-box [3.3070, 3.3080]: 26 t-boxes
beta-box [3.3080, 3.3090]: 26 t-boxes
beta-box [3.3090, 3.3100]: 26 t-boxes
beta-box [3.3100, 3.3110]: 26 t-boxes
beta-box [3.3110, 3.3120]: 26 t-boxes
beta-box [3.3120, 3.3130]: 26 t-boxes
beta-box [3.3130, 3.3140]: 26 t-boxes
beta-box [3.3140, 3.3150]: 26 t-boxes
beta-box [3.3150, 3.3160]: 26 t-boxes
beta-box [3.3160, 3.3170]: 26 t-boxes
beta-box [3.3170, 3.3180]: 26 t-boxes
beta-box [3.3180, 3.3190]: 26 t-boxes
beta-box [3.3190, 3.3200]: 26 t-boxes
beta-box [3.3200, 3.3210]: 26 t-boxes
beta-box [3.3210, 3.3220]: 26 t-boxes
beta-box [3.3220, 3.3230]: 26 t-boxes
beta-box [3.3230, 3.3240]: 26 t-boxes
beta-box [3.3240, 3.3250]: 26 t-boxes
beta-box [3.3250, 3.3260]: 26 t-boxes
beta-box [3.3260, 3.3270]: 26 t-boxes
beta-box [3.3270, 3.3280]: 26 t-boxes
beta-box [3.3280, 3.3290]: 26 t-boxes
beta-box [3.3290, 3.3300]: 26 t-boxes
beta-box [3.3300, 3.3310]: 27 t-boxes
beta-box [3.3310, 3.3320]: 27 t-boxes
beta-box [3.3320, 3.3330]: 27 t-boxes
beta-box [3.3330, 3.3340]: 27 t-boxes
beta-box [3.3340, 3.3350]: 27 t-boxes
beta-box [3.3350, 3.3360]: 27 t-boxes
beta-box [3.3360, 3.3370]: 27 t-boxes
beta-box [3.3370, 3.3380]: 27 t-boxes
beta-box [3.3380, 3.3390]: 27 t-boxes
beta-box [3.3390, 3.3400]: 27 t-boxes
beta-box [3.3400, 3.3410]: 27 t-boxes
beta-box [3.3410, 3.3420]: 27 t-boxes
beta-box [3.3420, 3.3430]: 28 t-boxes
beta-box [3.3430, 3.3440]: 28 t-boxes
beta-box [3.3440, 3.3450]: 28 t-boxes
beta-box [3.3450, 3.3460]: 28 t-boxes
beta-box [3.3460, 3.3470]: 28 t-boxes
beta-box [3.3470, 3.3480]: 28 t-boxes
beta-box [3.3480, 3.3490]: 28 t-boxes
beta-box [3.3490, 3.3500]: 28 t-boxes
beta-box [3.3500, 3.3510]: 28 t-boxes
beta-box [3.3510, 3.3520]: 28 t-boxes
beta-box [3.3520, 3.3530]: 28 t-boxes
beta-box [3.3530, 3.3540]: 28 t-boxes
beta-box [3.3540, 3.3550]: 28 t-boxes
beta-box [3.3550, 3.3560]: 28 t-boxes
beta-box [3.3560, 3.3570]: 28 t-boxes
beta-box [3.3570, 3.3580]: 28 t-boxes
beta-box [3.3580, 3.3590]: 28 t-boxes
beta-box [3.3590, 3.3600]: 28 t-boxes
beta-box [3.3600, 3.3610]: 28 t-boxes
beta-box [3.3610, 3.3620]: 28 t-boxes
beta-box [3.3620, 3.3630]: 28 t-boxes
beta-box [3.3630, 3.3640]: 29 t-boxes
beta-box [3.3640, 3.3650]: 29 t-boxes
beta-box [3.3650, 3.3660]: 29 t-boxes
beta-box [3.3660, 3.3670]: 29 t-boxes
beta-box [3.3670, 3.3680]: 29 t-boxes
beta-box [3.3680, 3.3690]: 29 t-boxes
beta-box [3.3690, 3.3700]: 29 t-boxes
beta-box [3.3700, 3.3710]: 29 t-boxes
beta-box [3.3710, 3.3720]: 29 t-boxes
beta-box [3.3720, 3.3730]: 29 t-boxes
beta-box [3.3730, 3.3740]: 29 t-boxes
beta-box [3.3740, 3.3750]: 29 t-boxes
beta-box [3.3750, 3.3760]: 29 t-boxes
beta-box [3.3760, 3.3770]: 29 t-boxes
beta-box [3.3770, 3.3780]: 29 t-boxes
beta-box [3.3780, 3.3790]: 29 t-boxes
beta-box [3.3790, 3.3800]: 29 t-boxes
beta-box [3.3800, 3.3810]: 29 t-boxes
beta-box [3.3810, 3.3820]: 29 t-boxes
beta-box [3.3820, 3.3830]: 29 t-boxes
beta-box [3.3830, 3.3840]: 29 t-boxes
beta-box [3.3840, 3.3850]: 29 t-boxes
beta-box [3.3850, 3.3860]: 29 t-boxes
beta-box [3.3860, 3.3870]: 29 t-boxes
beta-box [3.3870, 3.3880]: 29 t-boxes
beta-box [3.3880, 3.3890]: 29 t-boxes
beta-box [3.3890, 3.3900]: 29 t-boxes
beta-box [3.3900, 3.3910]: 29 t-boxes
beta-box [3.3910, 3.3920]: 29 t-boxes
beta-box [3.3920, 3.3930]: 29 t-boxes
beta-box [3.3930, 3.3940]: 29 t-boxes
beta-box [3.3940, 3.3950]: 29 t-boxes
beta-box [3.3950, 3.3960]: 29 t-boxes
beta-box [3.3960, 3.3970]: 29 t-boxes
beta-box [3.3970, 3.3980]: 29 t-boxes
beta-box [3.3980, 3.3990]: 29 t-boxes
beta-box [3.3990, 3.4000]: 29 t-boxes
beta-box [3.4000, 3.4010]: 29 t-boxes
beta-box [3.4010, 3.4020]: 29 t-boxes
beta-box [3.4020, 3.4030]: 29 t-boxes
beta-box [3.4030, 3.4040]: 29 t-boxes
beta-box [3.4040, 3.4050]: 29 t-boxes
beta-box [3.4050, 3.4060]: 29 t-boxes
beta-box [3.4060, 3.4070]: 29 t-boxes
beta-box [3.4070, 3.4080]: 29 t-boxes
beta-box [3.4080, 3.4090]: 29 t-boxes
beta-box [3.4090, 3.4100]: 29 t-boxes
beta-box [3.4100, 3.4110]: 29 t-boxes
beta-box [3.4110, 3.4120]: 29 t-boxes
beta-box [3.4120, 3.4130]: 29 t-boxes
beta-box [3.4130, 3.4140]: 29 t-boxes
beta-box [3.4140, 3.4150]: 29 t-boxes
beta-box [3.4150, 3.4160]: 29 t-boxes
beta-box [3.4160, 3.4170]: 29 t-boxes
beta-box [3.4170, 3.4180]: 29 t-boxes
beta-box [3.4180, 3.4190]: 29 t-boxes
beta-box [3.4190, 3.4200]: 29 t-boxes
beta-box [3.4200, 3.4210]: 29 t-boxes
beta-box [3.4210, 3.4220]: 29 t-boxes
beta-box [3.4220, 3.4230]: 29 t-boxes
beta-box [3.4230, 3.4240]: 29 t-boxes
beta-box [3.4240, 3.4250]: 29 t-boxes
beta-box [3.4250, 3.4260]: 29 t-boxes
beta-box [3.4260, 3.4270]: 29 t-boxes
beta-box [3.4270, 3.4280]: 29 t-boxes
beta-box [3.4280, 3.4290]: 29 t-boxes
beta-box [3.4290, 3.4300]: 29 t-boxes
beta-box [3.4300, 3.4310]: 29 t-boxes
beta-box [3.4310, 3.4320]: 29 t-boxes
beta-box [3.4320, 3.4330]: 29 t-boxes
beta-box [3.4330, 3.4340]: 29 t-boxes
beta-box [3.4340, 3.4350]: 29 t-boxes
beta-box [3.4350, 3.4360]: 29 t-boxes
beta-box [3.4360, 3.4370]: 29 t-boxes
beta-box [3.4370, 3.4380]: 29 t-boxes
beta-box [3.4380, 3.4390]: 29 t-boxes
beta-box [3.4390, 3.4400]: 29 t-boxes
beta-box [3.4400, 3.4410]: 29 t-boxes
beta-box [3.4410, 3.4420]: 29 t-boxes
beta-box [3.4420, 3.4430]: 29 t-boxes
beta-box [3.4430, 3.4440]: 29 t-boxes
beta-box [3.4440, 3.4450]: 29 t-boxes
beta-box [3.4450, 3.4460]: 29 t-boxes
beta-box [3.4460, 3.4470]: 29 t-boxes
beta-box [3.4470, 3.4480]: 30 t-boxes
beta-box [3.4480, 3.4490]: 30 t-boxes
beta-box [3.4490, 3.4500]: 30 t-boxes
beta-box [3.4500, 3.4510]: 30 t-boxes
beta-box [3.4510, 3.4520]: 30 t-boxes
beta-box [3.4520, 3.4530]: 30 t-boxes
beta-box [3.4530, 3.4540]: 30 t-boxes
beta-box [3.4540, 3.4550]: 30 t-boxes
beta-box [3.4550, 3.4560]: 30 t-boxes
beta-box [3.4560, 3.4570]: 30 t-boxes
beta-box [3.4570, 3.4580]: 30 t-boxes
beta-box [3.4580, 3.4590]: 30 t-boxes
beta-box [3.4590, 3.4600]: 30 t-boxes
beta-box [3.4600, 3.4610]: 31 t-boxes
beta-box [3.4610, 3.4620]: 31 t-boxes
beta-box [3.4620, 3.4630]: 31 t-boxes
beta-box [3.4630, 3.4640]: 31 t-boxes
beta-box [3.4640, 3.4650]: 31 t-boxes
beta-box [3.4650, 3.4660]: 31 t-boxes
beta-box [3.4660, 3.4670]: 31 t-boxes
beta-box [3.4670, 3.4680]: 31 t-boxes
beta-box [3.4680, 3.4690]: 31 t-boxes
beta-box [3.4690, 3.4700]: 31 t-boxes
beta-box [3.4700, 3.4710]: 31 t-boxes
beta-box [3.4710, 3.4720]: 31 t-boxes
beta-box [3.4720, 3.4730]: 31 t-boxes
beta-box [3.4730, 3.4740]: 31 t-boxes
beta-box [3.4740, 3.4750]: 31 t-boxes
beta-box [3.4750, 3.4760]: 31 t-boxes
beta-box [3.4760, 3.4770]: 31 t-boxes
beta-box [3.4770, 3.4780]: 31 t-boxes
beta-box [3.4780, 3.4790]: 31 t-boxes
beta-box [3.4790, 3.4800]: 31 t-boxes
beta-box [3.4800, 3.4810]: 31 t-boxes
beta-box [3.4810, 3.4820]: 31 t-boxes
beta-box [3.4820, 3.4830]: 31 t-boxes
beta-box [3.4830, 3.4840]: 31 t-boxes
beta-box [3.4840, 3.4850]: 31 t-boxes
beta-box [3.4850, 3.4860]: 31 t-boxes
beta-box [3.4860, 3.4870]: 31 t-boxes
beta-box [3.4870, 3.4880]: 31 t-boxes
beta-box [3.4880, 3.4890]: 31 t-boxes
beta-box [3.4890, 3.4900]: 31 t-boxes
beta-box [3.4900, 3.4910]: 31 t-boxes
beta-box [3.4910, 3.4920]: 31 t-boxes
beta-box [3.4920, 3.4930]: 31 t-boxes
beta-box [3.4930, 3.4940]: 31 t-boxes
beta-box [3.4940, 3.4950]: 31 t-boxes
beta-box [3.4950, 3.4960]: 31 t-boxes
beta-box [3.4960, 3.4970]: 31 t-boxes
beta-box [3.4970, 3.4980]: 31 t-boxes
beta-box [3.4980, 3.4990]: 31 t-boxes
beta-box [3.4990, 3.5000]: 31 t-boxes
beta-box [3.5000, 3.5010]: 31 t-boxes
beta-box [3.5010, 3.5020]: 31 t-boxes
beta-box [3.5020, 3.5030]: 31 t-boxes
beta-box [3.5030, 3.5040]: 31 t-boxes
beta-box [3.5040, 3.5050]: 31 t-boxes
beta-box [3.5050, 3.5060]: 31 t-boxes
beta-box [3.5060, 3.5070]: 31 t-boxes
beta-box [3.5070, 3.5080]: 31 t-boxes
beta-box [3.5080, 3.5090]: 31 t-boxes
beta-box [3.5090, 3.5100]: 31 t-boxes
beta-box [3.5100, 3.5110]: 31 t-boxes
beta-box [3.5110, 3.5120]: 31 t-boxes
beta-box [3.5120, 3.5130]: 31 t-boxes
beta-box [3.5130, 3.5140]: 31 t-boxes
beta-box [3.5140, 3.5150]: 31 t-boxes
beta-box [3.5150, 3.5160]: 31 t-boxes
beta-box [3.5160, 3.5170]: 31 t-boxes
beta-box [3.5170, 3.5180]: 31 t-boxes
beta-box [3.5180, 3.5190]: 31 t-boxes
beta-box [3.5190, 3.5200]: 31 t-boxes
beta-box [3.5200, 3.5210]: 31 t-boxes
beta-box [3.5210, 3.5220]: 31 t-boxes
beta-box [3.5220, 3.5230]: 31 t-boxes
beta-box [3.5230, 3.5240]: 31 t-boxes
beta-box [3.5240, 3.5250]: 31 t-boxes
beta-box [3.5250, 3.5260]: 31 t-boxes
beta-box [3.5260, 3.5270]: 31 t-boxes
beta-box [3.5270, 3.5280]: 31 t-boxes
beta-box [3.5280, 3.5290]: 32 t-boxes
beta-box [3.5290, 3.5300]: 32 t-boxes
beta-box [3.5300, 3.5310]: 32 t-boxes
beta-box [3.5310, 3.5320]: 32 t-boxes
beta-box [3.5320, 3.5330]: 32 t-boxes
beta-box [3.5330, 3.5340]: 32 t-boxes
beta-box [3.5340, 3.5350]: 32 t-boxes
beta-box [3.5350, 3.5360]: 32 t-boxes
beta-box [3.5360, 3.5370]: 32 t-boxes
